stock1,stock2,correlation,adf_p_value,total_return,sharpe_ratio,max_drawdown,test_sharpe
FITB,SCHW,0.9438897305907857,0.021216614870061143,1.2537569396473862,1.1356646724441222,-0.1477526345358624,1.3333512673375014
JPM,V,0.8076676774475681,0.014844647434372084,0.5528018837490927,1.134758461677678,-0.08341066607182679,0.655820668753481
BK,MS,0.8609683146155299,0.003922800004053776,0.5489486778280086,1.1251341591254518,-0.10725878825554813,0.9574846605988939
NDAQ,RF,0.8544424264668201,0.008673762840709195,1.5814739849710353,1.1133338706065141,-0.21478765138577183,1.0426492119438195
BK,VCTR,0.8523625628049664,0.008462025107505206,0.6024770669054791,1.0987365612095494,-0.1280410973136774,0.7611754028663564
ALL,RJF,0.8377428642604733,0.01244195325745218,0.4868466741833417,1.0912814721909023,-0.09659242620223829,0.4179561681510283
ALL,GS,0.8057625469866915,0.01665283728953123,0.5370598766487125,1.0772936305104788,-0.07190467777428766,1.2188642919178085
GL,TRV,0.8806817943044873,0.006974076384008063,0.5293093121980115,1.074127471106108,-0.09149643842362076,0.8318870601407916
BLK,JPM,0.8514119034810987,0.014092113463308773,6.005841735392525,1.0709154008167,-0.4824566627956973,0.9580515501376301
AMTD,GPN,0.8903344320125471,0.032580103556286405,3.3376912638975123,1.0490656277611992,-0.27936710928497366,1.2461697561026148
AIG,VCTR,0.881507092313219,0.022658097862306797,1.2121413187192704,1.043500808869279,-0.18569983644350618,0.6285790141311823
GPN,MKTX,0.8093711221415623,0.018433773481389127,0.7325826585599875,1.041019502143461,-0.14654196939340502,0.31153606144992296
SCHW,WFC,0.8541202084110651,0.008167537024716983,0.808240479948654,1.0394575527337082,-0.10881503747672971,0.4141237881968009
SCHW,STT,0.8319009916583102,0.027184426914295203,0.9244209181033334,1.0274541106794932,-0.18794403023462003,1.2682345255047465
ALLY,USB,0.9095396395256573,0.008246907226336884,0.8384157359188644,1.0243105222982394,-0.14511776010016852,1.195528377688752
ALL,WFC,0.8094902931391791,0.01095812418642311,1.1335528230149134,1.0160274245580658,-0.19308003741426516,1.6581347435867406
AXP,CINF,0.8972280418707806,0.023297706909559627,1.3215391850920946,1.0100336691455543,-0.2634528597708349,1.2656536145587927
AMG,GS,0.9637283183655422,0.0011995606695015002,0.5682087483443161,1.0045406672927162,-0.11565913268601347,1.3645820742596837
AXP,TRV,0.8744768030245755,0.03197832944139071,0.5793663579534281,0.9916472682832368,-0.07417650746722448,1.0777116332653283
BLK,COF,0.8825820295891088,0.0013226679638175581,5.658252514162453,0.9908123509238879,-0.589434143852817,1.0146748804346943
BRK-B,HIG,0.9318341804651352,0.026537002859575907,1.268440287020196,0.9868068624630084,-0.2083270924582098,1.1892836810742426
BAC,FITB,0.9683849638729921,0.007408729124057168,0.37622943961888766,0.9527851111433419,-0.08461901504460378,1.4009761311406108
CB,RJF,0.9475012046352345,0.003905731095320655,0.8475009834745979,0.9523229455520758,-0.17689633541439698,1.4024876447775882
AMG,SYF,0.8452066603734576,0.032479679261171734,5.194868861259667,0.9465995254898589,-0.33700119604820344,0.7174678229680095
PRU,RJF,0.9292570699853837,0.02270875869378955,0.5819520068103605,0.9394326133021325,-0.1447546908816434,1.425519526275827
